2018-10-11 02:39:42,b'RT @DilliDurAst: MJ Akbar: India minister under scrutiny over #MeToo allegations - BBC News https://t.co/Y7WT1lzXCR'
2018-10-11 02:39:39,b'RT @Samanthaprabhu2: (1/2)I am so happy that more and more women are finding the strength to say #MeToo  . Your bravery is commendable . I\xe2\x80\xa6'
2018-10-11 02:39:39,b'RT @purva007: #MeToo More Power to girls but it has to be taken seriously and carefully. We should expect a more safe working place after t\xe2\x80\xa6'
2018-10-11 02:43:24,b'RT @Vishal_FilmBuff: Leading from the front! @aamir_khan.. nothing less was expected from you! \xf0\x9f\x99\x8f\n#MeToo\n#MeTooIndia https://t.co/VQvC46a8V7'
2018-10-11 02:43:23,b'RT @FemCondition: Here\xe2\x80\x99s one big problem with #metoo. It\xe2\x80\x99s exclusionary. It\xe2\x80\x99s become hetero-normalized. It\xe2\x80\x99s for women to speak about men o\xe2\x80\xa6'
2018-10-11 02:43:22,"b""RT @delictum: Let's not forget . . . all women are to be believed . . .\n\n#MAGA #MeToo #Hannity https://t.co/ibHRp4aHH6"""
2018-10-11 02:43:22,b'RT @gunjakapoor: My letter to @RahulGandhi urging him to take action on NSUI Prez Fairoz Khan and explain the sloppy handling of complain a\xe2\x80\xa6'
2018-10-11 02:43:21,"b'RT @kylegriffin1: Trump mocked the ""rules"" of the #MeToo movement tonight.\n\n""I used an expression \xe2\x80\x94 you know, there\xe2\x80\x99s an expression but und\xe2\x80\xa6'"
2018-10-11 02:43:21,"b'RT @thehill: #MeToo leaders thank Ford: ""Your sacrifice was not made in vain"" https://t.co/KmlCGHsPTz https://t.co/NQE80t0XTt'"
2018-10-11 02:43:21,b'RT @sandymridul: In truth &amp; solidarity.\nI\xe2\x80\x99m with you @vintananda \n#metoo https://t.co/ZoiT2dT3yL'
2018-10-11 02:43:21,"b""RT @nowthisnews: Rep. Kevin Cramer called #MeToo a 'movement toward victimization' https://t.co/xO9mJQLRKP"""
2018-10-11 02:43:20,b'RT @Alyssa_Milano: #IfOnly I could save you.\n\n#IfOnly I could help you \n\nremove that weight from your tired shoulders and become the joy of\xe2\x80\xa6'
2018-10-11 02:43:19,b'RT @wearetheLEFT101: @realDonaldTrump @WhiteHouse Vote Blue #notmypresident #voteblue #vote #nodonald #believesurvivors #believechristinebl\xe2\x80\xa6'
